,User,Tweet,Cloud
0,1601645088790257667,"Interesting... Q&amp;A: Databricks reveals key insights on evolving AWS Marketplace partnership - SiliconANGLE News

#datalake #deltalake #databricks

Read More Here:
https://t.co/rbrRq2PS7g",AWS
1,1601594891175354371,"🚀AWS Marketplace for Containers, where you can find our Robotize EKS solution for automated container deployment",AWS
2,1601587461603336193,"Indian Media and leisure sector, large marketplace for AWS - https://t.co/Bum0yoSrEs",AWS
3,1601587459992731650,"Indian Media and leisure sector, large marketplace for AWS - https://t.co/c8P3vXTSKM",AWS
4,1601564700390604800,"#RedHat recently launched a new offering for Red Hat #JBoss Enterprise #Application Platform (JBoss EAP), an efficient and comprehensive #Java platform on the #Amazon Web Services marketplace (#AWS) https://t.co/lkgJ19dbF4",AWS
5,1601521711169830914,"@Cygnus69601 혹시나 하고 보니 이런게 있군요... 돈덩어리로 보이네요.
https://t.co/5tOSOdScQz",AWS
6,1601467453283782656,@VersaceValerio @awscloud You have received this message because your retail account is coupled with your AWS account. We would love to help you get set up to sell on AWS Marketplace. Please contact the AWS Marketplace Managed Catalog Operations team for help with this issue: https://t.co/6OwMIUARbC,AWS
7,1601462235179544576,"Exciting news! Ordinary Experts has released a new AWS Marketplace Product - a production-ready Mastodon setup. Quickly and easily set up your own Mastodon instance on the AWS cloud. Join the decentralized social media network today! #mastodon #aws

https://t.co/EJ2rb8rHVX",AWS
8,1601427759074803712,Cloud Security Posture Management (CSPM) - AWS Marketplace Security | Amazon Web Services #AmazonAWS #AmazonWebServices #aws #AWSCloud #AWScloudsecurity #AWSMarketplace #awssolutions #awsmp #cloud #CloudComputing #cloudsecurity #cloudsecurityPostureManagement #CSPM #CSPMAWS #... https://t.co/HVvmneBRmv,AWS
9,1601401558473678848,#Deloitte and AWS collaborate to drive greater efficiencies and bring products and services to market faster in the increasingly competitive marketplace. Learn more here. https://t.co/OdfNYYbG6B,AWS
10,1601373640913989633,Jerry Chen weighs in on AWS Marketplace as an ideal channel for startups #OnlineAds #PaidMedia #Ondeckeo #PaidAds [Video] https://t.co/eeDUbuN3Ae,AWS
11,1601363974779543558,Jerry Chen sees AWS Marketplace as an ideal channel for startups – SiliconANGLE https://t.co/6fMeag27t7,AWS
12,1601350599328829443,@JackoftheOasis @Afar_134 Dick. https://t.co/oMka1ZB4Wg,AWS
13,1601345846142029826,Jerry Chen weighs in on AWS Marketplace as an ideal channel for startups https://t.co/KOEwcZuZJh,AWS
14,1601338711584739328,"Presentamos Información de proveedores de AWS Marketplace, que permite optimizar las evaluaciones de riesgos de los proveedores https://t.co/hi332ttCqk",AWS
15,1601335510663839746,Jerry Chen weighs in on AWS Marketplace as an ideal channel for startups https://t.co/KZQzzvNihP,AWS
16,1601330312176345088,#RaviVisvesvarayaSharadaPrasad  https://t.co/Sz8og6sTG9 Jerry Chen weighs in on AWS Marketplace as an ideal channel for startups,AWS
17,1601325025092567040,ベンダーリスク評価の合理化に役立つ AWS Marketplace ベンダーインサイトの発表 https://t.co/iOUJVOalWH,AWS
18,1601323036430458880,"ベンダーリスク評価の合理化に役立つ AWS Marketplace ベンダーインサイトの発表
#AWS
https://t.co/NFnQHpBkJX",AWS
19,1601322646050066433,ベンダーリスク評価の合理化に役立つ AWS Marketplace ベンダーインサイトの発表 https://t.co/mdhiqIBJIl,AWS
20,1601317080661368832,"📢 Figure is hiring a Principal Product Designer Marketplace!

💰 $60K - $120K
🌎 Worldwide

 Apply → https://t.co/4EHbJxF1ra

#remotejob #remotework #wfh #aws",AWS
21,1601305819752144901,"💻⌨🖱 An Amazon AWS Marketplace Customer Advisor, Rosendo 'Red' Molina, presented for an Hour of Code to PHS students. Students learned to code their own space-themed Alexa skills and uncover the basics of voice artificial intelligence! #BuildPearlandProud #IAMKnowledgeable https://t.co/XhQ5lFuJjl",AWS
22,1601257977432125441,"@joa_pen @awscloud @QuinnyPig How did this meeting go?
PM: ""We are going to break all AWS marketplace functionality for hundreds of thousands of accounts to &lt;implement collection of whatever metadata&gt;, this can't be done in a non-disruptive way""
VP: ""That sounds reasonable, godspeed son and have a great day!""",AWS
23,1601254357508538368,"✅ $GOOG: ""Google"" mentioned during HCL Techno ""HCL Technologies Ltd Investor Day"" event https://t.co/60M3QL7XKW",AWS
24,1601254354954092545,"✅ $MSFT: ""Microsoft"" mentioned during HCL Technologies Limited ""HCL Technologies Ltd Investor Day"" event https://t.co/q17I54F5cl",AWS
25,1601221122846081025,Thanks @ChannelE2E for including us in your coverage of AWS re:Invent! NetBox Cloud is now available on the AWS Marketplace - simplifying the path to network automation. https://t.co/cV0SdluGFT #reInvent2022 @AWSreInvent @aws @netboxofficial,AWS
26,1601218906961715202,".@Ansible Automation Platform brings leading automation technology to #AWS Marketplace, one of the world’s top public clouds. Limit the overhead and complexity that can arise with automating across the #HybridCloud today. https://t.co/Jc3YlFteGl #AnsibleFest https://t.co/RnsUFSkd79",AWS
27,1601184640064446465,"@aashaysanghvi_ Cloud marketplaces: Google Workspace Marketplace, Salesforce AppExchange, AWS, Azure, etc.",AWS
28,1601164887362871297,https://t.co/z00BAnHfKe,AWS
29,1601164882908512259,https://t.co/3oIVhy8RHc,AWS
30,1601161841291452416,A Renová Tu Vestidor é um marketplace que proporciona a milhares de pessoas moda sustentável e rápidacom a ajuda da AWS. 🚀 Conheça a empresa e saiba como essa parceria funciona: https://t.co/dPoJ3j5sUe https://t.co/NYqjiIbw5T,AWS
31,1601161832059834368,A Renová Tu Vestidor é um marketplace que proporciona a milhares de pessoas moda sustentável e rápidacom a ajuda da AWS. 🚀 Conheça a empresa e saiba como essa parceria funciona: https://t.co/CfKNBaT3hx https://t.co/3exfWLqPOU,AWS
32,1601114333517209603,AMIは共有したり、公開したりすることができる。AWS提供のAMIを使用するのが一般的だが、Marketplaceにはベンダーからも多数のAMIが提供されている。,AWS
33,1601040234296139778,"@RadishSystems expands its reach to help businesses make money, reduce costs, and improve #CX by easily sharing visuals during phone calls with @ChoiceView now on the @awscloud (#AWS) Marketplace. Here’s the power of #VisualIVRs and #visual live agents. https://t.co/bxxYHbEphe",AWS
